age,industry,gender,race,job,timestamp,experience_overall_years,experience_field_years,education
25-34,"Marketing, Advertising & PR",Woman,White,Public Relations Specialist,4/28/2021 11:30:46,8 - 10 years,5-7 years,Master's degree
25-34,"Marketing, Advertising & PR",Woman,White,Data visualization developer,4/27/2021 17:04:55,8 - 10 years,2 - 4 years,College degree
25-34,Computing or Tech,Woman,White,Software Engineer,4/27/2021 11:52:11,8 - 10 years,5-7 years,Master's degree
35-44,Nonprofits,Woman,White,Data Associate,4/27/2021 13:42:18,8 - 10 years,5-7 years,Master's degree
55-64,Computing or Tech,Woman,White,Sr. Programmer Analyst,4/30/2021 16:44:18,31 - 40 years,21 - 30 years,Some college
35-44,Education (Primary/Secondary),Woman,White,School Psychologist,4/28/2021 14:21:58,11 - 20 years,1 year or less,"Professional degree (MD, JD, etc.)"
35-44,Computing or Tech,Woman,Black or African American,Director of Customer Success,4/28/2021 10:17:28,11 - 20 years,8 - 10 years,College degree
35-44,Computing or Tech,Woman,White,Project Manager,4/29/2021 11:18:52,11 - 20 years,8 - 10 years,Master's degree
25-34,project management ,Woman,White,project coordinator ,4/27/2021 11:18:11,11 - 20 years,8 - 10 years,College degree
25-34,Computing or Tech,Woman,White,Engineering Manager,5/5/2021 18:46:09,11 - 20 years,11 - 20 years,Master's degree
35-44,Transport or Logistics,Woman,"Asian or Asian American, White",Chassis Maintainer,4/27/2021 19:26:40,11 - 20 years,2 - 4 years,College degree
18-24,Nonprofits,Woman,"Middle Eastern or Northern African, White",Multimedia Associate ,4/29/2021 12:36:56,2 - 4 years,2 - 4 years,College degree
35-44,Government and Public Administration,Woman,White,Program Specialist,5/7/2021 9:48:43,11 - 20 years,8 - 10 years,Master's degree
25-34,Education (Higher Education),Man,White,Web Services Librarian,4/28/2021 17:52:47,2 - 4 years,2 - 4 years,Master's degree
35-44,Business or Consulting,Woman,Black or African American,Requirements Analyst ,4/29/2021 13:29:06,21 - 30 years,11 - 20 years,College degree
25-34,Property or Construction,Woman,White,Inside quotations,4/29/2021 13:48:07,11 - 20 years,2 - 4 years,Some college
25-34,Government and Public Administration,Woman,White,Budget Analyst,4/28/2021 17:01:33,2 - 4 years,2 - 4 years,Master's degree
35-44,Health care,Woman,White,Director of HR,5/16/2021 22:22:16,11 - 20 years,11 - 20 years,College degree
25-34,Computing or Tech,Woman,White,Product marketing manager ,4/28/2021 15:40:48,8 - 10 years,8 - 10 years,College degree
35-44,Education (Primary/Secondary),Woman,White,Speech Language Pathologist,4/27/2021 13:26:01,11 - 20 years,2 - 4 years,Master's degree
35-44,Engineering or Manufacturing,Man,"Black or African American, White",Incident Responder,5/19/2021 6:50:34,11 - 20 years,5-7 years,College degree
25-34,Nonprofits,Woman,White,Director of Finance,5/7/2021 0:15:02,5-7 years,2 - 4 years,College degree
45-54,Government and Public Administration,Woman,White,HR Analyst,4/28/2021 13:45:07,11 - 20 years,11 - 20 years,Master's degree
35-44,Nonprofits,Woman,White,Events and development coordinator,4/28/2021 14:17:11,11 - 20 years,11 - 20 years,College degree
25-34,Media & Digital,Woman,White,Copy editor and page designer,5/20/2021 17:38:20,5-7 years,5-7 years,College degree
25-34,Computing or Tech,Woman,White,Senior UX Researcher,4/27/2021 12:14:47,5-7 years,5-7 years,College degree
25-34,"Accounting, Banking & Finance",Man,White,Financial Advisor,4/28/2021 17:30:42,5-7 years,5-7 years,College degree
25-34,Government and Public Administration,Woman,White,Health Program Administrator 1,4/27/2021 13:35:08,8 - 10 years,8 - 10 years,Master's degree
45-54,Religion ,Woman,White,Clergy,4/28/2021 16:12:44,21 - 30 years,21 - 30 years,Master's degree
35-44,Insurance,Woman,White,Trainer,4/28/2021 17:27:48,5-7 years,5-7 years,Master's degree
25-34,Health care,Woman,Black or African American,Technician ,5/4/2021 4:01:11,2 - 4 years,2 - 4 years,Master's degree
45-54,Education (Primary/Secondary),Woman,White,Teacher,4/27/2021 23:02:17,21 - 30 years,11 - 20 years,PhD
45-54,Media & Digital,Man,Another option not listed here or prefer not to answer,Vice President Business Development,4/28/2021 13:38:43,21 - 30 years,21 - 30 years,Some college
25-34,Transport or Logistics,Woman,Black or African American,Senior Analyst,4/28/2021 15:35:50,5-7 years,2 - 4 years,College degree
25-34,"Accounting, Banking & Finance",Woman,Black or African American,Accounting Analyst,4/29/2021 14:37:30,5-7 years,2 - 4 years,College degree
35-44,Engineering or Manufacturing,Man,White,Human Resources Manager,4/29/2021 9:12:57,11 - 20 years,11 - 20 years,College degree
25-34,Law,Woman,White,Associate Attorney,4/27/2021 11:35:15,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)"
25-34,Program management ,Woman,White,Program manager,4/27/2021 14:42:51,8 - 10 years,1 year or less,Master's degree
35-44,Health care,Other or prefer not to answer,White,Content Strategist ,4/27/2021 22:15:03,11 - 20 years,11 - 20 years,College degree
45-54,Education (Higher Education),Woman,White,Vice Dean of a University Library,4/27/2021 14:20:50,21 - 30 years,21 - 30 years,Master's degree
35-44,Computing or Tech,Woman,White,Senior Engineering Manager,4/27/2021 12:20:09,11 - 20 years,11 - 20 years,College degree
25-34,"Marketing, Advertising & PR",Woman,White,Content Strategist ,4/27/2021 18:43:11,2 - 4 years,2 - 4 years,Master's degree
55-64,Nonprofits,Woman,White,Director of Foundation and Corporate Giving,4/28/2021 9:54:45,31 - 40 years,21 - 30 years,Master's degree
25-34,Computing or Tech,Woman,Another option not listed here or prefer not to answer,Director of Marketing ,4/27/2021 18:58:34,8 - 10 years,5-7 years,College degree
25-34,Business or Consulting,Woman,"Hispanic, Latino, or Spanish origin",Archaeologist,2/6/2022 20:08:23,5-7 years,5-7 years,Master's degree
45-54,Engineering or Manufacturing,Woman,White,Director of Finance & Administration,4/29/2021 7:45:47,11 - 20 years,11 - 20 years,Master's degree
25-34,Insurance,Woman,White,Data Scientist,4/28/2021 19:52:53,11 - 20 years,2 - 4 years,Master's degree
35-44,Engineering or Manufacturing,Woman,White,Principal Engineer,5/5/2021 16:25:46,11 - 20 years,11 - 20 years,College degree
35-44,"Accounting, Banking & Finance",Man,White,Financial advisor,4/27/2021 11:33:47,11 - 20 years,11 - 20 years,College degree
25-34,Computing or Tech,Woman,White,Data Scientist,4/27/2021 11:45:05,2 - 4 years,2 - 4 years,Master's degree
25-34,Rideshare,Woman,Black or African American,Uber driver,6/6/2022 21:08:42,2 - 4 years,2 - 4 years,College degree
35-44,Property or Construction,Man,White,Senior material coordinator ,5/1/2021 0:09:45,11 - 20 years,11 - 20 years,Master's degree
25-34,Transport or Logistics,Woman,White,International Customer Service,4/27/2021 12:20:25,8 - 10 years,5-7 years,College degree
45-54,Government and Public Administration,Woman,White,Assistant Department Head,5/3/2021 14:20:45,21 - 30 years,21 - 30 years,Master's degree
25-34,Business or Consulting,Man,Asian or Asian American,Associate Consultant,5/18/2021 15:49:46,2 - 4 years,1 year or less,Master's degree
25-34,Computing or Tech,Woman,White,UX/UI Designer,4/29/2021 12:44:40,8 - 10 years,5-7 years,College degree
25-34,Business or Consulting,Woman,White,Geologist,5/9/2021 17:40:29,5-7 years,5-7 years,College degree
25-34,Education (Primary/Secondary),Woman,White,High School Teacher,4/28/2021 13:45:35,11 - 20 years,11 - 20 years,Master's degree
25-34,Engineering or Manufacturing,Man,"Hispanic, Latino, or Spanish origin",Director of Intelligence,4/27/2021 11:06:12,5-7 years,5-7 years,College degree
25-34,Sales,Woman,White,Imaging Specalist,5/1/2021 9:43:18,2 - 4 years,2 - 4 years,PhD
25-34,Computing or Tech,Man,White,Data Analyst,10/26/2021 10:53:41,11 - 20 years,2 - 4 years,College degree
35-44,Nonprofits,Woman,White,Executive Assistant ,4/28/2021 15:13:52,11 - 20 years,11 - 20 years,College degree
35-44,Education (Primary/Secondary),Man,White,Math Teacher,4/28/2021 21:02:35,11 - 20 years,11 - 20 years,Master's degree
45-54,Education (Higher Education),Woman,White,Librarian ,4/27/2021 12:05:32,21 - 30 years,21 - 30 years,College degree
25-34,Transport or Logistics,Woman,White,Sourcing Manager,5/5/2021 19:13:39,5-7 years,5-7 years,Master's degree
45-54,Government and Public Administration,Woman,White,Library Assistant,4/30/2021 19:35:16,11 - 20 years,8 - 10 years,College degree
25-34,Government and Public Administration,Woman,White,Management Analyst IV (Data Analyst),4/27/2021 19:02:29,5-7 years,5-7 years,Master's degree
35-44,Computing or Tech,Man,White,Principal Engineer ,5/3/2021 14:17:49,21 - 30 years,21 - 30 years,Master's degree
25-34,Medical technology,Woman,White,Graphic design specialist,4/30/2021 20:18:22,11 - 20 years,2 - 4 years,College degree
18-24,Recruitment or HR,Woman,White,HR Expert,4/27/2021 14:04:10,2 - 4 years,1 year or less,College degree
35-44,Nonprofits,Woman,White,Program Executive,4/27/2021 15:10:40,11 - 20 years,8 - 10 years,Master's degree
35-44,Health care,Man,White,Senior Data Scientist,4/28/2021 12:07:37,8 - 10 years,8 - 10 years,Master's degree
45-54,Real estate software,Woman,Another option not listed here or prefer not to answer,Senior Product Manager,4/27/2021 16:36:21,21 - 30 years,11 - 20 years,Master's degree
35-44,Art & Design,Woman,White,Knowledge Manager,5/3/2021 23:00:13,8 - 10 years,8 - 10 years,Master's degree
35-44,"Accounting, Banking & Finance",Man,"Hispanic, Latino, or Spanish origin",FP&A Manager,10/26/2021 13:00:27,11 - 20 years,8 - 10 years,College degree
25-34,Computing or Tech,Man,White,Financial analyst ,5/21/2021 7:32:17,5-7 years,2 - 4 years,College degree
55-64,Computing or Tech,Woman,White,Cyber Security Engineer,4/28/2021 1:35:57,21 - 30 years,11 - 20 years,Master's degree
35-44,Computing or Tech,Woman,White,Coordinator ,4/29/2021 7:20:47,8 - 10 years,2 - 4 years,Master's degree
35-44,Education (Higher Education),Woman,White,Senior Research Administrator,4/27/2021 12:30:59,11 - 20 years,8 - 10 years,Master's degree
25-34,Government and Public Administration,Woman,White,Economic Self Sufficiency Specialist ,4/27/2021 17:23:05,2 - 4 years,2 - 4 years,College degree
35-44,Computing or Tech,Woman,White,Technical Writer,4/27/2021 15:34:59,11 - 20 years,11 - 20 years,College degree
25-34,Nonprofits,Woman,White,Membership Relationship Manager,4/27/2021 16:55:53,2 - 4 years,2 - 4 years,Master's degree
25-34,Computing or Tech,Man,White,Senior Machine Learning Engineer,4/29/2021 1:18:54,8 - 10 years,5-7 years,College degree
25-34,Nonprofits,Woman,White,Director of Communication,4/28/2021 18:17:44,11 - 20 years,11 - 20 years,College degree
25-34,Education (Higher Education),Woman,White,Research Assistant,5/5/2021 16:43:50,2 - 4 years,2 - 4 years,Master's degree
35-44,Recruitment or HR,Woman,Another option not listed here or prefer not to answer,Director HR,4/29/2021 8:47:26,11 - 20 years,11 - 20 years,Master's degree
35-44,Agriculture or Forestry,Man,White,Chemical Technician,4/30/2021 14:26:52,11 - 20 years,11 - 20 years,Some college
25-34,Computing or Tech,Woman,Asian or Asian American,Director of Data Science,4/27/2021 16:52:03,2 - 4 years,2 - 4 years,PhD
35-44,Retail,Woman,Another option not listed here or prefer not to answer,Creative Director,5/6/2021 19:59:17,11 - 20 years,11 - 20 years,Some college
35-44,Education (Higher Education),Woman,White,Department Administrator,4/29/2021 0:57:38,11 - 20 years,2 - 4 years,Master's degree
35-44,Nonprofits,Woman,White,Education Program Manager,4/27/2021 18:55:15,8 - 10 years,5-7 years,Master's degree
35-44,Publishing,Woman,White,Marketing director,4/27/2021 22:13:59,21 - 30 years,11 - 20 years,College degree
45-54,Sales,Woman,White,Regional Sales Manager,4/30/2021 21:02:16,21 - 30 years,11 - 20 years,College degree
35-44,Computing or Tech,Non-binary,"Asian or Asian American, White",site reliability engineer,4/28/2021 17:11:29,11 - 20 years,8 - 10 years,College degree
18-24,Nonprofits,Woman,Black or African American,Operations Manager ,4/28/2021 22:12:54,2 - 4 years,2 - 4 years,College degree
35-44,Nonprofits,Woman,White,Manager of Accreditation Services,5/3/2021 20:47:15,21 - 30 years,11 - 20 years,Master's degree
45-54,Computing or Tech,Woman,White,Director of Project Management,4/27/2021 13:59:53,21 - 30 years,11 - 20 years,College degree
45-54,"Marketing, Advertising & PR",Woman,White,customer service rep,4/28/2021 23:09:29,21 - 30 years,21 - 30 years,College degree
25-34,Computing or Tech,Man,White,Systems engineer,4/29/2021 1:17:42,8 - 10 years,5-7 years,College degree
35-44,Health care,Woman,White,Psychologist,5/1/2021 19:09:48,2 - 4 years,2 - 4 years,PhD
25-34,Education (Higher Education),Woman,White,Associate Director,4/27/2021 11:18:15,11 - 20 years,11 - 20 years,Master's degree
35-44,Computing or Tech,Woman,White,Senior Software Engineer,4/30/2021 0:19:43,11 - 20 years,8 - 10 years,Some college
35-44,Education (Higher Education),Woman,White,Research Librarian,4/28/2021 17:02:43,11 - 20 years,2 - 4 years,Master's degree
25-34,Engineering or Manufacturing,Man,White,Controls Engineer,10/26/2021 12:53:30,2 - 4 years,2 - 4 years,College degree
35-44,Chaplain,Woman,White,Chaplain resident ,4/27/2021 16:52:02,11 - 20 years,1 year or less,"Professional degree (MD, JD, etc.)"
25-34,Business or Consulting,Woman,White,Lead engineer,4/30/2021 20:24:59,5-7 years,2 - 4 years,Master's degree
25-34,Nonprofits,Man,White,Program Manager,5/5/2021 22:10:14,8 - 10 years,8 - 10 years,College degree
25-34,Transport or Logistics,Woman,Black or African American,Business Development Manager,4/27/2021 11:49:42,5-7 years,2 - 4 years,College degree
55-64,Education (Higher Education),Woman,White,Writer,4/6/2022 20:09:52,21 - 30 years,8 - 10 years,Master's degree
25-34,Computing or Tech,Woman,White,CEO,4/29/2021 23:57:22,2 - 4 years,2 - 4 years,Master's degree
25-34,Computing or Tech,Woman,White,Operations Analyst,5/12/2021 17:12:39,5-7 years,2 - 4 years,College degree
25-34,Computing or Tech,Woman,White,Partnership Sales,5/5/2021 18:08:13,8 - 10 years,2 - 4 years,College degree
35-44,Agriculture or Forestry,Non-binary,Native American or Alaska Native,Turnip farmer,4/27/2021 18:08:14,8 - 10 years,2 - 4 years,PhD
35-44,Nonprofits,Woman,White,Grant Management Specialist ,4/27/2021 12:30:10,11 - 20 years,2 - 4 years,Master's degree
25-34,Computing or Tech,Man,White,Embedded Software Engineer,4/27/2021 11:11:47,2 - 4 years,2 - 4 years,College degree
35-44,Law,Woman,White,Partner,4/28/2021 19:38:00,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)"
35-44,Agriculture or Forestry,Woman,White,Accounts Receivable/Accounts Payable,4/28/2021 14:03:08,11 - 20 years,5-7 years,College degree
35-44,Education (Primary/Secondary),Woman,White,Teacher,4/27/2021 14:59:25,2 - 4 years,2 - 4 years,College degree
65 or over,Engineering or Manufacturing,Man,White,Field Service Technician,4/28/2021 7:33:33,41 years or more,11 - 20 years,College degree
35-44,Agriculture or Forestry,Other or prefer not to answer,Another option not listed here or prefer not to answer,Farm hand/sales,4/27/2021 21:35:57,11 - 20 years,2 - 4 years,Some college
35-44,Engineering or Manufacturing,Woman,White,Manager of Communication & Public Relations,4/27/2021 15:45:06,11 - 20 years,11 - 20 years,Master's degree
25-34,Entertainment,Woman,White,Coordinator,4/27/2021 14:33:48,2 - 4 years,2 - 4 years,College degree
35-44,Defense,Woman,White,Business Development,4/28/2021 9:59:44,11 - 20 years,11 - 20 years,Master's degree
25-34,Health care,Woman,Asian or Asian American,Dietitian ,4/28/2021 9:45:26,8 - 10 years,1 year or less,Master's degree
45-54,Education (Primary/Secondary),Woman,White,Library Director,4/27/2021 12:44:15,11 - 20 years,8 - 10 years,Master's degree
35-44,Biotech,Woman,White,Senior Associate Scientist,4/27/2021 11:43:23,21 - 30 years,21 - 30 years,Master's degree
25-34,Business or Consulting,Man,"Asian or Asian American, White",Manager,4/28/2021 22:15:20,8 - 10 years,8 - 10 years,College degree
35-44,Social Work,Woman,White,Supervisor,4/27/2021 22:01:12,11 - 20 years,11 - 20 years,Master's degree
45-54,Retail,Woman,White,"Customer Service Rep, entry level",4/27/2021 14:09:59,21 - 30 years,1 year or less,Master's degree
25-34,Nonprofits,Woman,White,Administrative and Communications Assistant,4/27/2021 15:40:35,5-7 years,5-7 years,Master's degree
25-34,"Accounting, Banking & Finance",Woman,White,Institutional Investor ,4/27/2021 15:49:12,5-7 years,5-7 years,College degree
45-54,Government and Public Administration,Woman,White,Human Resources Analyst,4/29/2021 22:45:55,21 - 30 years,21 - 30 years,Master's degree
25-34,Education (Higher Education),Woman,White,Administrative Coordinator,4/30/2021 13:44:01,8 - 10 years,5-7 years,Master's degree
25-34,Nonprofits,Woman,White,SVP Advocacy & Policy,4/29/2021 11:13:06,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)"
35-44,"Accounting, Banking & Finance",Woman,White,Accounting Manager,5/7/2021 10:02:35,11 - 20 years,8 - 10 years,College degree
35-44,Computing or Tech,Woman,"Hispanic, Latino, or Spanish origin, White",Marketing Manager,4/27/2021 12:10:32,8 - 10 years,5-7 years,Master's degree
45-54,Education (Higher Education),Woman,White,professor,4/27/2021 11:18:53,11 - 20 years,11 - 20 years,PhD
35-44,"Accounting, Banking & Finance",Woman,White,Risk Manager,4/28/2021 12:05:42,11 - 20 years,11 - 20 years,Master's degree
35-44,Law,Woman,White,Vice President,4/30/2021 18:37:12,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)"
45-54,Health care,Other or prefer not to answer,White,Supply chain director ,4/27/2021 14:56:47,21 - 30 years,11 - 20 years,Master's degree
35-44,Government and Public Administration,Man,White,Manager,4/28/2021 22:43:07,11 - 20 years,11 - 20 years,College degree
25-34,Nonprofits,Woman,White,Librarian,4/27/2021 11:14:34,11 - 20 years,11 - 20 years,Master's degree
35-44,Business or Consulting,Woman,White,Director of Lead Development,4/27/2021 12:09:09,11 - 20 years,11 - 20 years,College degree
35-44,Education (Higher Education),Woman,White,Health & Wellness Specialist,5/5/2021 18:23:36,11 - 20 years,2 - 4 years,College degree
35-44,Media & Digital,Woman,White,VP of Content & Marketing,4/28/2021 16:48:51,11 - 20 years,11 - 20 years,College degree
25-34,Libraries,Woman,White,Adult Services Librarian,4/28/2021 17:45:29,2 - 4 years,5-7 years,Master's degree
35-44,Engineering or Manufacturing,Woman,White,VP Digital Marketing and Customer Experience,4/28/2021 15:33:43,11 - 20 years,8 - 10 years,College degree
45-54,Computing or Tech,Woman,White,Internal Security and Compliance audit,4/27/2021 13:21:38,21 - 30 years,11 - 20 years,College degree
18-24,Entertainment data,Non-binary,White,Research Coordinator,4/28/2021 17:13:05,1 year or less,1 year or less,College degree
25-34,Computing or Tech,Woman,White,Product Security Engineer,4/28/2021 16:33:17,11 - 20 years,2 - 4 years,College degree
18-24,Environmnetal ,Woman,White,Ecological specialist ,7/12/2021 22:36:45,5-7 years,2 - 4 years,College degree
25-34,Health care,Woman,White,Patient Services,4/27/2021 20:46:31,5-7 years,2 - 4 years,Master's degree
25-34,"Accounting, Banking & Finance",Woman,White,Indirect lending ,4/30/2021 17:13:27,11 - 20 years,5-7 years,College degree
45-54,Law,Woman,White,government attorney,5/6/2021 13:01:07,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)"
35-44,Education (Higher Education),Woman,White,Grants Coordinator,4/27/2021 16:53:51,11 - 20 years,1 year or less,College degree
25-34,Law,Woman,Asian or Asian American,Staff Attorney ,4/27/2021 21:37:56,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)"
35-44,Government and Public Administration,Non-binary,White,Chemist,4/28/2021 21:35:39,11 - 20 years,8 - 10 years,Master's degree
35-44,Health care,Woman,Black or African American,"Director, Operations",4/27/2021 13:25:59,11 - 20 years,11 - 20 years,Master's degree
35-44,Law,Woman,White,Associate,5/5/2021 15:42:55,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)"
35-44,Education (Primary/Secondary),Woman,White,High school English teacher,4/27/2021 14:10:47,11 - 20 years,11 - 20 years,Master's degree
35-44,Nonprofits,Man,White,Senior Campaign Director,4/28/2021 12:07:10,11 - 20 years,11 - 20 years,College degree
35-44,Transport or Logistics,Woman,White,Department Supervisor,4/27/2021 11:45:47,11 - 20 years,11 - 20 years,Master's degree
25-34,Nonprofits,Woman,White,Development Associate ,5/6/2021 23:29:53,5-7 years,2 - 4 years,College degree
25-34,"Marketing, Advertising & PR",Woman,White,Digital Content Coordinator ,4/28/2021 16:25:11,8 - 10 years,2 - 4 years,College degree
35-44,Retail,Woman,White,Shop Manager,4/28/2021 14:10:03,11 - 20 years,8 - 10 years,Some college
35-44,Government and Public Administration,Woman,White,Environmental Compliance ,4/28/2021 17:13:24,2 - 4 years,2 - 4 years,College degree
35-44,Nonprofits,Woman,White,Events Specialist,4/27/2021 18:24:33,11 - 20 years,11 - 20 years,Master's degree
35-44,Law,Woman,Black or African American,Compliance Manager,4/30/2021 1:45:44,11 - 20 years,11 - 20 years,Master's degree
25-34,"Accounting, Banking & Finance",Man,White,Financial Advisor,4/27/2021 12:02:00,5-7 years,5-7 years,College degree
35-44,Computing or Tech,Woman,White,Quality Assurance Engineer,4/27/2021 13:16:10,11 - 20 years,11 - 20 years,College degree
25-34,Computing or Tech,Man,White,Product Manager,4/27/2021 11:10:09,8 - 10 years,5-7 years,Master's degree
25-34,Recruitment or HR,Woman,White,Employee development coordinator ,6/1/2021 18:45:01,5-7 years,2 - 4 years,College degree
45-54,Health care,Woman,White,Nurse Practitioner,4/27/2021 12:08:48,21 - 30 years,11 - 20 years,Master's degree
25-34,Health care,Woman,White,Billing Manager,4/27/2021 15:45:52,11 - 20 years,11 - 20 years,College degree
35-44,Nonprofits,Woman,White,Office Manager,4/27/2021 12:51:18,8 - 10 years,5-7 years,College degree
35-44,Biotech,Woman,White,Regulatory Operations Associate,4/27/2021 13:12:00,8 - 10 years,2 - 4 years,College degree
25-34,Computing or Tech,Woman,White,UX Researcher,4/28/2021 14:25:30,1 year or less,1 year or less,PhD
25-34,"Marketing, Advertising & PR",Woman,White,Art Director,4/28/2021 15:45:26,5-7 years,5-7 years,College degree
18-24,Engineering or Manufacturing,Woman,White,Engineering Intern,5/9/2021 15:41:16,5-7 years,2 - 4 years,College degree
35-44,Engineering or Manufacturing,Other or prefer not to answer,White,Compliance Administrator,5/5/2021 16:00:31,11 - 20 years,5-7 years,College degree
25-34,Education (Higher Education),Woman,White,GIS Specialist,5/6/2021 10:00:02,8 - 10 years,5-7 years,Master's degree
45-54,"Accounting, Banking & Finance",Woman,White,CPA,5/6/2021 17:40:05,21 - 30 years,8 - 10 years,Master's degree
25-34,Media & Digital,Man,Asian or Asian American,Managing Editor,5/2/2021 21:15:13,5-7 years,5-7 years,Some college
35-44,"Accounting, Banking & Finance",Woman,White,Senior Business Analyst,4/30/2021 18:39:39,11 - 20 years,11 - 20 years,College degree
25-34,Nonprofits,Woman,White,Pastor,4/27/2021 13:32:18,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)"
45-54,Nonprofits,Woman,White,"Director, Grants Administration",5/5/2021 22:32:26,21 - 30 years,21 - 30 years,College degree
45-54,Health care,Woman,"Hispanic, Latino, or Spanish origin",Senior program consultant--ethicist,4/28/2021 18:54:49,31 - 40 years,21 - 30 years,PhD
25-34,Maintenance,Man,White,Machinist/Roll Grinder,10/26/2021 12:31:10,11 - 20 years,11 - 20 years,College degree
45-54,Education (Higher Education),Woman,White,Research Program Manager,4/27/2021 16:10:15,31 - 40 years,5-7 years,Master's degree
45-54,Retail,Woman,White,Customer Service Supervisor ,4/30/2021 21:50:32,5-7 years,2 - 4 years,Some college
25-34,Health care,Woman,White,Senior Regulatory Affairs Specialist,4/29/2021 17:39:57,8 - 10 years,5-7 years,College degree
25-34,Nonprofits,Woman,White,Member Data Specialist,4/27/2021 11:27:30,2 - 4 years,2 - 4 years,College degree
55-64,Health care,Woman,White,Human Resources Manager,4/29/2021 20:15:01,8 - 10 years,2 - 4 years,College degree
35-44,Education (Higher Education),Woman,White,Digital Preservation Librarian,4/29/2021 14:27:31,11 - 20 years,8 - 10 years,Master's degree
25-34,Education (Higher Education),Woman,White,Director of Alumni Relations,4/27/2021 11:55:42,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)"
35-44,Computing or Tech,Other or prefer not to answer,White,Email Deliverability Consultant,4/27/2021 18:25:19,11 - 20 years,5-7 years,High School
25-34,Government and Public Administration,Woman,White,Librarian,4/27/2021 13:52:35,2 - 4 years,2 - 4 years,Master's degree
25-34,Nonprofits,Woman,White,Senior Policy Specialist,4/27/2021 16:48:37,5-7 years,5-7 years,Master's degree
25-34,Property or Construction,Man,White,Facility Manager I,4/27/2021 11:28:25,11 - 20 years,8 - 10 years,Master's degree
25-34,Computing or Tech,Woman,White,Senior Software Engineer,4/29/2021 2:44:05,2 - 4 years,2 - 4 years,College degree
25-34,Computing or Tech,Woman,Asian or Asian American,Security Engineer,4/28/2021 17:37:23,8 - 10 years,2 - 4 years,College degree
25-34,Engineering or Manufacturing,Woman,White,Project Engineer,4/30/2021 15:13:46,11 - 20 years,8 - 10 years,College degree
35-44,Education (Primary/Secondary),Woman,White,Lead Elementary Computer Science Teacher/Mentor,4/29/2021 11:41:11,11 - 20 years,11 - 20 years,Master's degree
25-34,Health care,Woman,White,Medical writer ,4/29/2021 17:46:31,5-7 years,1 year or less,PhD
25-34,Nonprofits,Woman,White,Program Director,4/28/2021 16:12:44,8 - 10 years,8 - 10 years,Master's degree
25-34,Health care,Woman,White,CRNA,4/28/2021 7:33:28,5-7 years,2 - 4 years,Master's degree
25-34,"Accounting, Banking & Finance",Woman,White,Controller,4/27/2021 17:53:02,11 - 20 years,8 - 10 years,College degree
18-24,Retail,Non-binary,White,Guest Advocate ,4/29/2021 2:11:04,2 - 4 years,2 - 4 years,Some college
18-24,Politics,Woman,White,Fundraising Associate,4/27/2021 16:36:17,2 - 4 years,2 - 4 years,College degree
25-34,Business or Consulting,Woman,White,Consultant,4/28/2021 15:53:47,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)"
35-44,"Marketing, Advertising & PR",Man,White,Tech Lead,4/27/2021 12:52:23,11 - 20 years,5-7 years,Master's degree
25-34,Political Campaigns,Woman,White,Senior Account Executive,4/27/2021 12:43:04,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)"
35-44,Health care,Woman,"Asian or Asian American, White",IT Finance Manager,4/27/2021 11:38:45,11 - 20 years,5-7 years,College degree
25-34,Art & Design,Woman,White,Apparel Designer,4/28/2021 15:31:15,8 - 10 years,8 - 10 years,College degree
25-34,Education (Higher Education),Woman,White,Software developer,4/27/2021 11:16:04,8 - 10 years,5-7 years,College degree
35-44,Government and Public Administration,Woman,White,Administrative Assistant,4/27/2021 11:07:19,11 - 20 years,11 - 20 years,Some college
35-44,Computing or Tech,Woman,White,IT Security Analyst ,4/27/2021 11:49:36,11 - 20 years,8 - 10 years,College degree
25-34,Health care,Man,White,Clinical Pharmacist ,4/28/2021 17:16:44,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)"
25-34,"Marketing, Advertising & PR",Man,White,Associate,1/11/2022 14:27:43,2 - 4 years,1 year or less,College degree
25-34,Media & Digital,Woman,White,I/O Media Assistant,5/5/2021 20:22:09,2 - 4 years,2 - 4 years,College degree
25-34,Computing or Tech,Woman,White,Director of Operations,5/6/2021 9:52:09,8 - 10 years,2 - 4 years,College degree
25-34,Politics,Woman,"Hispanic, Latino, or Spanish origin",Compliance Manager,4/27/2021 11:09:14,11 - 20 years,11 - 20 years,College degree
45-54,Sales,Woman,White,Associate Director,5/5/2021 17:02:36,21 - 30 years,21 - 30 years,Master's degree
35-44,Nonprofits,Woman,"Hispanic, Latino, or Spanish origin, White",Events Marketing Manager,4/27/2021 12:17:55,11 - 20 years,8 - 10 years,College degree
55-64,Health care,Woman,White,RN Case Manager,4/28/2021 15:41:59,31 - 40 years,8 - 10 years,College degree
